# time,smoothGCAMP,smoothISOS,smoothfitISOS,smoothdFF
2.064383958712320832e-02,4.292800140380859375e+01,4.268729782104492188e+01,1.303155533554703709e+02,-6.705842065780817052e+01
1.020395499592090083e+00,9.080968475341796875e+01,9.150963592529296875e+01,1.014442482071369227e+02,-1.048316059477759410e+01
2.020147159597056596e+00,9.572789382934570312e+01,9.748820877075195312e+01,9.790879276450280599e+01,-2.227480161462878971e+00
3.019898819602023554e+00,9.753784179687500000e+01,9.777745819091796875e+01,9.773774384308983088e+01,-2.045290164828827140e-01
4.019650479606990068e+00,9.773471832275390625e+01,9.738346481323242188e+01,9.797073356614023965e+01,-2.409038238210179650e-01
5.019402139611957026e+00,9.663908386230468750e+01,9.641014099121093750e+01,9.854631290471516536e+01,-1.935363167016289632e+00
6.019153799616923983e+00,9.931420516967773438e+01,9.676548767089843750e+01,9.833617707711923117e+01,9.945760773184153525e-01
7.018905459621890941e+00,1.017918815612792969e+02,9.738535308837890625e+01,9.796961692629719209e+01,3.901479616744449430e+00
8.018657119626857011e+00,1.028756523132324219e+02,9.763016128540039062e+01,9.782484851836210282e+01,5.163109242047293712e+00
9.018408779631824856e+00,1.028343734741210938e+02,9.778673553466796875e+01,9.773225764491144218e+01,5.220503395866553653e+00
1.001816043963679093e+01,1.018802032470703125e+02,9.768209457397460938e+01,9.779413753892106342e+01,4.178231753946433535e+00
1.101791209964175877e+01,1.029350242614746094e+02,9.785153961181640625e+01,9.769393546783311422e+01,5.364804650916315865e+00
1.201766375964672484e+01,1.031478538513183594e+02,9.797632980346679688e+01,9.762014023715481414e+01,5.662472519230886903e+00
1.301741541965169091e+01,1.017249107360839844e+02,9.770397186279296875e+01,9.778120030760813108e+01,4.033199036286530870e+00
1.401716707965665876e+01,1.016524009704589844e+02,9.719945907592773438e+01,9.807954617112905282e+01,3.642813347745328834e+00
1.501691873966162483e+01,1.014630775451660156e+02,9.654205703735351562e+01,9.846830376852813060e+01,3.041358144726219237e+00
1.601667039966659090e+01,1.021059379577636719e+02,9.650103378295898438e+01,9.849256305109818754e+01,3.668677913063199014e+00
1.701642205967155874e+01,1.028156242370605469e+02,9.649409103393554688e+01,9.849666867637971279e+01,4.384874756395242379e+00
1.801617371967652659e+01,1.020418395996093750e+02,9.622067642211914062e+01,9.865835361397752479e+01,3.429497717821728742e+00
1.901592537968149088e+01,1.014991683959960938e+02,9.638386917114257812e+01,9.856184886148102464e+01,2.980179012919271120e+00
2.001567703968645873e+01,1.001105957031250000e+02,9.626199340820312500e+01,9.863392063187632175e+01,1.497127014508484733e+00
2.101542869969142657e+01,9.823253250122070312e+01,9.564434814453125000e+01,9.899916788494348907e+01,-7.743856843461220940e-01
2.201518035969639442e+01,9.678193283081054688e+01,9.517169570922851562e+01,9.927867298893073666e+01,-2.514880671701331671e+00
2.301493201970135871e+01,9.677563858032226562e+01,9.520254135131835938e+01,9.926043228232282445e+01,-2.503307355072916351e+00
2.401468367970632656e+01,9.828116226196289062e+01,9.594866180419921875e+01,9.881921065900482404e+01,-5.444775296764670092e-01
2.501443533971129440e+01,9.714056396484375000e+01,9.615827941894531250e+01,9.869525235723571654e+01,-1.575241316334692554e+00
2.601418699971625870e+01,9.463198089599609375e+01,9.585902786254882812e+01,9.887221608605977963e+01,-4.288601346178915641e+00
2.701393865972122654e+01,9.366692352294921875e+01,9.584466552734375000e+01,9.888070931638117145e+01,-5.272803795075735600e+00
2.801369031972619439e+01,9.119119644165039062e+01,9.540127944946289062e+01,9.914290763072014556e+01,-8.020453887319581199e+00
2.901344197973115868e+01,8.855942153930664062e+01,9.467227172851562500e+01,9.957400956447058604e+01,-1.106170985113579874e+01
3.001319363973612653e+01,8.817074203491210938e+01,9.433598327636718750e+01,9.977287522508493112e+01,-1.162854449568454385e+01
3.101294529974109437e+01,9.195205307006835938e+01,9.545923995971679688e+01,9.910863242713361387e+01,-7.220944514925978552e+00
3.201269695974605867e+01,9.459690856933593750e+01,9.633722686767578125e+01,9.858943099352345030e+01,-4.049645468031751072e+00
3.301244861975102651e+01,9.389594268798828125e+01,9.615256118774414062e+01,9.869863385849780002e+01,-4.866015853264026525e+00
3.401220027975599436e+01,9.396990966796875000e+01,9.605274200439453125e+01,9.875766237319102459e+01,-4.847980997292184568e+00
3.501195193976096220e+01,9.556487274169921875e+01,9.608135604858398438e+01,9.874074133185217761e+01,-3.216371021035138611e+00
3.601170359976593005e+01,9.731689834594726562e+01,9.609699249267578125e+01,9.873149465161647242e+01,-1.432771083493413311e+00
3.701145525977089790e+01,9.814867019653320312e+01,9.626621627807617188e+01,9.863142341913641076e+01,-4.894517445537991951e-01
3.801120691977585864e+01,9.850743484497070312e+01,9.649600982666015625e+01,9.849553398983212560e+01,1.208263426421554709e-02
3.901095857978082648e+01,9.836977767944335938e+01,9.636055755615234375e+01,9.857563428790706439e+01,-2.088311274391250194e-01
4.001071023978579433e+01,9.902272033691406250e+01,9.634573745727539062e+01,9.858439821879647980e+01,4.446161117145314701e-01
4.101046189979076217e+01,9.818261337280273438e+01,9.617869949340820312e+01,9.868317685606427858e+01,-5.072429761677089699e-01
4.201021355979573002e+01,9.643538284301757812e+01,9.590368652343750000e+01,9.884580698981207547e+01,-2.438569950714183587e+00
4.300996521980069787e+01,9.688703536987304688e+01,9.600044631958007812e+01,9.878858765724839941e+01,-1.924870405044028621e+00
4.400971687980566571e+01,9.832852554321289062e+01,9.634149169921875000e+01,9.858690896656479197e+01,-2.620869505499260899e-01
4.500946853981062645e+01,1.012904815673828125e+02,9.608064270019531250e+01,9.874116317357065498e+01,2.581819285773327088e+00
4.600922019981559430e+01,1.046605949401855469e+02,9.574074172973632812e+01,9.894216511283423188e+01,5.779568115201424661e+00
4.700897185982056214e+01,1.051932106018066406e+02,9.551876449584960938e+01,9.907343232993969195e+01,6.177012472411909982e+00
4.800872351982552999e+01,1.049037132263183594e+02,9.543142318725585938e+01,9.912508199831650302e+01,5.829635760704841907e+00
4.900847517983049784e+01,1.031767311096191406e+02,9.540679550170898438e+01,9.913964568887558926e+01,4.072120081418195703e+00
5.000822683983546568e+01,1.006004295349121094e+02,9.510147476196289062e+01,9.932019845606387776e+01,1.288993677770957635e+00
5.100797849984043353e+01,9.925111770629882812e+01,9.494280242919921875e+01,9.941403004045125158e+01,-1.638725782328057101e-01
