# time,smoothGCAMP,smoothISOS,smoothdFF
1.081343978373120428e-02,3.353987121582031250e+01,3.752372741699218750e+01,1.324173091781629630e+01
1.010565099788697907e+00,7.372613143920898438e+01,8.189924240112304688e+01,1.330926774338746954e+00
2.010316759793664865e+00,7.985691452026367188e+01,8.864513397216796875e+01,6.821969747905711756e-01
3.010068419798631822e+00,7.954333114624023438e+01,8.867268753051757812e+01,2.529794215501835475e-01
4.009820079803598780e+00,7.929885864257812500e+01,8.857714462280273438e+01,6.199440402890037810e-02
5.009571739808564850e+00,7.852736282348632812e+01,8.799186706542968750e+01,-1.949466534104198900e-01
6.009323399813531807e+00,7.821881484985351562e+01,8.778514099121093750e+01,-3.325237114816372852e-01
7.009075059818498765e+00,7.815714645385742188e+01,8.790764999389648438e+01,-5.620053495845165337e-01
8.008826719823465723e+00,7.875666809082031250e+01,8.848478317260742188e+01,-5.094377352916622526e-01
9.008578379828431792e+00,7.917853927612304688e+01,8.879098892211914062e+01,-3.512294666005650878e-01
1.000833003983339964e+01,7.902172851562500000e+01,8.856779479980468750e+01,-2.762600926650038424e-01
1.100808169983836571e+01,7.863138580322265625e+01,8.838872146606445312e+01,-5.503795229939590916e-01
1.200783335984333355e+01,7.788426589965820312e+01,8.785620498657226562e+01,-8.460949528150579768e-01
1.300758501984829962e+01,7.760698318481445312e+01,8.747192764282226562e+01,-7.269610894463501838e-01
1.400733667985326569e+01,7.787928390502929688e+01,8.740147781372070312e+01,-2.912872068827688787e-01
1.500708833985823354e+01,7.800072097778320312e+01,8.728540420532226562e+01,8.671679212236254458e-03
1.600683999986319961e+01,7.778180694580078125e+01,8.716754150390625000e+01,-1.252834187703414648e-01
1.700659165986816745e+01,7.820402908325195312e+01,8.714557266235351562e+01,4.444105955337687153e-01
1.800634331987313530e+01,7.873945236206054688e+01,8.713934326171875000e+01,1.139969322822161235e+00
1.900609497987809959e+01,7.849202346801757812e+01,8.716469192504882812e+01,7.902460472795396207e-01
2.000584663988306744e+01,7.809244537353515625e+01,8.707504653930664062e+01,3.894972970853168293e-01
2.100559829988803529e+01,7.810367202758789062e+01,8.721961212158203125e+01,2.228595925618447882e-01
2.200534995989299958e+01,7.834962844848632812e+01,8.753225708007812500e+01,1.478793529541477247e-01
2.300510161989796742e+01,7.860082626342773438e+01,8.753831863403320312e+01,4.613978493682727167e-01
