# time,smoothGCAMP,smoothISOS,smoothdFF
2.064383958712320832e-02,3.073963546752929688e+01,3.186006355285644531e+01,-4.398974773202593980e+01
1.020395499592090083e+00,6.741156768798828125e+01,6.928211402893066406e+01,-2.048631075556035075e+00
2.020147159597056596e+00,7.323244094848632812e+01,7.485536193847656250e+01,3.293491365452688058e+00
3.019898819602023554e+00,7.284657287597656250e+01,7.466500473022460938e+01,2.852093514075826786e+00
4.019650479606990068e+00,7.248697662353515625e+01,7.450198364257812500e+01,2.432200384116733893e+00
5.019402139611957026e+00,7.248389816284179688e+01,7.455503845214843750e+01,2.399253754720286125e+00
6.019153799616923983e+00,7.258089065551757812e+01,7.453789138793945312e+01,2.545529569446817852e+00
7.018905459621890941e+00,7.263459777832031250e+01,7.445698165893554688e+01,2.665124520743676229e+00
8.018657119626857011e+00,7.213737869262695312e+01,7.441778945922851562e+01,1.983375596221399695e+00
9.018408779631824856e+00,7.159488296508789062e+01,7.439586639404296875e+01,1.228115120961938533e+00
1.001816043963679093e+01,7.144723129272460938e+01,7.437272262573242188e+01,1.031664909027927290e+00
1.101791209964175877e+01,7.208707046508789062e+01,7.436719131469726562e+01,1.939414778490692326e+00
1.201766375964672484e+01,7.287016296386718750e+01,7.433889007568359375e+01,3.062161661019951797e+00
1.301741541965169091e+01,7.266454315185546875e+01,7.428847503662109375e+01,2.798651244056998610e+00
1.401716707965665876e+01,7.269632720947265625e+01,7.418358612060546875e+01,2.900491742147157215e+00
1.501691873966162483e+01,7.247001647949218750e+01,7.412364578247070312e+01,2.612581874042229302e+00
1.601667039966659090e+01,7.115052032470703125e+01,7.405945205688476562e+01,7.783861901940010153e-01
1.701642205967155874e+01,7.067785263061523438e+01,7.411998367309570312e+01,7.693351201788109495e-02
1.801617371967652659e+01,7.160283660888671875e+01,7.419927215576171875e+01,1.344291557250564262e+00
1.901592537968149088e+01,7.201438903808593750e+01,7.410356903076171875e+01,1.978242946184937345e+00
2.001567703968645873e+01,7.176552200317382812e+01,7.404399108886718750e+01,1.657773788358742673e+00
2.101542869969142657e+01,7.189335250854492188e+01,7.388976669311523438e+01,1.921788041207646236e+00
2.201518035969639442e+01,7.213179016113281250e+01,7.377319335937500000e+01,2.322805231275078430e+00
2.301493201970135871e+01,7.212002944946289062e+01,7.367328262329101562e+01,2.360160428107560104e+00
2.401468367970632656e+01,7.151179885864257812e+01,7.355604553222656250e+01,1.559844141616328672e+00
2.501443533971129440e+01,7.020518112182617188e+01,7.351292037963867188e+01,-2.730411779907560565e-01
2.601418699971625870e+01,6.971075439453125000e+01,7.357129669189453125e+01,-1.005955412541865712e+00
2.701393865972122654e+01,7.008568191528320312e+01,7.371359634399414062e+01,-5.483907162513156353e-01
2.801369031972619439e+01,7.007944488525390625e+01,7.361035919189453125e+01,-5.029482512248091286e-01
2.901344197973115868e+01,6.995938873291015625e+01,7.345092010498046875e+01,-5.895786298872823794e-01
3.001319363973612653e+01,7.004682922363281250e+01,7.354500579833984375e+01,-5.148709122746434330e-01
3.101294529974109437e+01,7.011360549926757812e+01,7.360417938232421875e+01,-4.511944103241906645e-01
3.201269695974605867e+01,7.028349304199218750e+01,7.338458633422851562e+01,-9.395778649910818681e-02
3.301244861975102651e+01,7.047706222534179688e+01,7.321009826660156250e+01,2.738369153457768101e-01
3.401220027975599436e+01,7.010292053222656250e+01,7.318877029418945312e+01,-2.472116644975895505e-01
3.501195193976096220e+01,6.990246582031250000e+01,7.322042083740234375e+01,-5.491319289447802454e-01
3.601170359976593005e+01,6.992379379272460938e+01,7.323055648803710938e+01,-5.241316012055998730e-01
3.701145525977089790e+01,6.968159484863281250e+01,7.310667800903320312e+01,-8.035741346929293760e-01
3.801120691977585864e+01,6.936394500732421875e+01,7.300225448608398438e+01,-1.201063091228606439e+00
3.901095857978082648e+01,6.913850402832031250e+01,7.299495697021484375e+01,-1.518358294207617032e+00
4.001071023978579433e+01,6.936508941650390625e+01,7.298678588867187500e+01,-1.191323843589103371e+00
4.101046189979076217e+01,6.941679000854492188e+01,7.294628143310546875e+01,-1.096421712913210555e+00
4.201021355979573002e+01,6.939759445190429688e+01,7.279103088378906250e+01,-1.042236132502895485e+00
4.300996521980069787e+01,6.984139633178710938e+01,7.273879241943359375e+01,-3.817544969023590751e-01
4.400971687980566571e+01,7.013670349121093750e+01,7.273923110961914062e+01,3.922357505056071197e-02
4.500946853981062645e+01,6.990435028076171875e+01,7.272085571289062500e+01,-2.824573094927897432e-01
4.600922019981559430e+01,6.943596649169921875e+01,7.274784088134765625e+01,-9.648002372162125528e-01
4.700897185982056214e+01,6.920223617553710938e+01,7.269520950317382812e+01,-1.270558924438023762e+00
4.800872351982552999e+01,6.939012145996093750e+01,7.262295532226562500e+01,-9.644795806934515214e-01
4.900847517983049784e+01,6.974470520019531250e+01,7.253360748291015625e+01,-4.111033163573570293e-01
5.000822683983546568e+01,7.014900970458984375e+01,7.243843078613281250e+01,2.169379474274455988e-01
5.100797849984043353e+01,6.998364639282226562e+01,7.245562362670898438e+01,-2.845149071320039746e-02
5.200773015984539427e+01,6.903807830810546875e+01,7.261776351928710938e+01,-1.464205716158336390e+00
5.300748181985036211e+01,6.837001800537109375e+01,7.251840209960937500e+01,-2.366131606267713572e+00
5.400723347985532996e+01,6.918357086181640625e+01,7.230372619628906250e+01,-1.091415827334032196e+00
5.500698513986029781e+01,6.993511962890625000e+01,7.221315765380859375e+01,3.128465482807314679e-02
5.600673679986526565e+01,6.964652252197265625e+01,7.241197586059570312e+01,-4.869206052616253388e-01
5.700648845987023350e+01,6.909056854248046875e+01,7.252000808715820312e+01,-1.338012644194835676e+00
5.800624011987519424e+01,6.879840850830078125e+01,7.224385070800781250e+01,-1.610692857002328227e+00
5.900599177988016208e+01,6.908082580566406250e+01,7.211217880249023438e+01,-1.137461136603094003e+00
6.000574343988512993e+01,6.889873504638671875e+01,7.206306076049804688e+01,-1.372229503493348046e+00
6.100549509989009778e+01,6.852658081054687500e+01,7.209389877319335938e+01,-1.921091510937729785e+00
6.200524675989506562e+01,6.878008270263671875e+01,7.211423110961914062e+01,-1.568935677880666235e+00
6.300499841990003347e+01,6.885355377197265625e+01,7.210245513916015625e+01,-1.457605450007563475e+00
6.400475007990499421e+01,6.893761825561523438e+01,7.231044769287109375e+01,-1.446570633596644617e+00
6.500450173990996916e+01,6.922216033935546875e+01,7.235646438598632812e+01,-1.064032090463661095e+00
6.600425339991492990e+01,6.931549835205078125e+01,7.217838287353515625e+01,-8.366144048770287611e-01
6.700400505991990485e+01,6.918827819824218750e+01,7.218112182617187500e+01,-1.020061382084953783e+00
6.800375671992486559e+01,6.913240814208984375e+01,7.231924057006835938e+01,-1.172725816081019223e+00
6.900350837992982633e+01,6.912610244750976562e+01,7.238996505737304688e+01,-1.218940829330726894e+00
7.000326003993480128e+01,6.890301895141601562e+01,7.235696411132812500e+01,-1.520427818665234465e+00
