# time,smoothGCAMP,smoothISOS,smoothdFF
2.064383958712320832e-02,3.437269210815429688e+01,3.514653778076171875e+01,6.525484294936761742e+00
1.020395499592090083e+00,7.401630783081054688e+01,7.613820648193359375e+01,3.216388112337830396e+00
2.020147159597056596e+00,7.653647232055664062e+01,8.099631881713867188e+01,1.991118868507414097e-01
3.019898819602023554e+00,7.040597152709960938e+01,7.884835815429687500e+01,-5.263375828557336433e+00
4.019650479606990068e+00,6.924610519409179688e+01,7.871795654296875000e+01,-6.666485018041040433e+00
5.019402139611957026e+00,6.959644317626953125e+01,7.921857452392578125e+01,-6.799397492488211014e+00
6.019153799616923983e+00,6.837658309936523438e+01,7.889950561523437500e+01,-8.054961373884458098e+00
7.018905459621890941e+00,7.081138610839843750e+01,8.003178024291992188e+01,-6.155754364517633803e+00
8.018657119626857011e+00,7.040903472900390625e+01,8.016792678833007812e+01,-6.850698231106153280e+00
9.018408779631824856e+00,6.729993820190429688e+01,7.916004180908203125e+01,-9.806753341666357926e+00
1.001816043963679093e+01,6.685439300537109375e+01,7.921908950805664062e+01,-1.047202878291309780e+01
1.101791209964175877e+01,6.812200927734375000e+01,7.966180038452148438e+01,-9.291949567542451049e+00
1.201766375964672484e+01,6.721417999267578125e+01,7.903671646118164062e+01,-9.778202714218862113e+00
1.301741541965169091e+01,6.521336746215820312e+01,7.810277175903320312e+01,-1.139508836620011856e+01
1.401716707965665876e+01,6.570429992675781250e+01,7.805883026123046875e+01,-1.067674858265124804e+01
1.501691873966162483e+01,6.617361450195312500e+01,7.792503738403320312e+01,-9.881006169567848829e+00
1.601667039966659090e+01,6.564653396606445312e+01,7.775335693359375000e+01,-1.039723550376314876e+01
1.701642205967155874e+01,6.546694564819335938e+01,7.770085525512695312e+01,-1.058070311552378762e+01
1.801617371967652659e+01,6.517486953735351562e+01,7.758622360229492188e+01,-1.084532446638735692e+01
1.901592537968149088e+01,6.493453598022460938e+01,7.757550811767578125e+01,-1.116155409380994712e+01
2.001567703968645873e+01,6.491376876831054688e+01,7.741633987426757812e+01,-1.100348887458083347e+01
2.101542869969142657e+01,6.516905975341796875e+01,7.734973144531250000e+01,-1.057490885156703264e+01
2.201518035969639442e+01,6.652089309692382812e+01,7.747490692138671875e+01,-8.870535630314666520e+00
2.301493201970135871e+01,6.748386383056640625e+01,7.729845428466796875e+01,-7.335793655379490019e+00
2.401468367970632656e+01,6.669674682617187500e+01,7.690221023559570312e+01,-7.934613567672740508e+00
2.501443533971129440e+01,6.605336380004882812e+01,7.674200820922851562e+01,-8.628291585217958470e+00
2.601418699971625870e+01,6.644298934936523438e+01,7.686853408813476562e+01,-8.243848460148793578e+00
2.701393865972122654e+01,6.648595046997070312e+01,7.705529403686523438e+01,-8.411810370798296077e+00
2.801369031972619439e+01,6.747981643676757812e+01,7.755821990966796875e+01,-7.658281087584459357e+00
2.901344197973115868e+01,6.856048965454101562e+01,7.799014663696289062e+01,-6.710017813356669691e+00
3.001319363973612653e+01,6.772336578369140625e+01,7.754472732543945312e+01,-7.308532120184443315e+00
3.101294529974109437e+01,6.694675064086914062e+01,7.702902603149414062e+01,-7.744910154129599711e+00
3.201269695974605867e+01,6.728840637207031250e+01,7.699382781982421875e+01,-7.230799078340370833e+00
3.301244861975102651e+01,6.723241806030273438e+01,7.698607254028320312e+01,-7.298451893434927840e+00
3.401220027975599436e+01,6.720059585571289062e+01,7.708720779418945312e+01,-7.466488932601288653e+00
3.501195193976096220e+01,6.797504806518554688e+01,7.697578811645507812e+01,-6.261707003133769156e+00
3.601170359976593005e+01,6.845486450195312500e+01,7.674521636962890625e+01,-5.310335783825911093e+00
3.701145525977089790e+01,6.851788711547851562e+01,7.661212921142578125e+01,-5.054978816778235462e+00
