# time,smoothGCAMP,smoothISOS,smoothfitISOS,smoothdFF
2.064383958712320832e-02,3.951224517822265625e+01,3.667649078369140625e+01,6.577509198841181615e+01,-3.992825553906654790e+01
1.020395499592090083e+00,8.470913314819335938e+01,7.915898895263671875e+01,8.538591265760622662e+01,-7.926126082726590028e-01
2.020147159597056596e+00,8.958903503417968750e+01,8.461374664306640625e+01,8.790394430526301051e+01,1.916968279676827702e+00
3.019898819602023554e+00,8.984583282470703125e+01,8.419877243041992188e+01,8.771238342213916894e+01,2.432324056570290161e+00
4.019650479606990068e+00,8.879390335083007812e+01,8.398792266845703125e+01,8.761505070753389646e+01,1.345491024403200786e+00
5.019402139611957026e+00,8.696970367431640625e+01,8.358880233764648438e+01,8.743080831195189262e+01,-5.273937717586592022e-01
6.019153799616923983e+00,8.652275085449218750e+01,8.310804367065429688e+01,8.720887993179752584e+01,-7.867651526334608070e-01
7.018905459621890941e+00,8.558378982543945312e+01,8.276947402954101562e+01,8.705258901666579163e+01,-1.687255034936576248e+00
8.018657119626857011e+00,8.586550140380859375e+01,8.236732482910156250e+01,8.686694843073050265e+01,-1.152851625403283675e+00
9.018408779631824856e+00,8.661331939697265625e+01,8.168877792358398438e+01,8.655371681175125786e+01,6.886195927441239595e-02
1.001816043963679093e+01,8.719858551025390625e+01,8.133813476562500000e+01,8.639185250560174723e+01,9.338068130902152930e-01
1.101791209964175877e+01,8.720412063598632812e+01,8.154981613159179688e+01,8.648956910622339933e+01,8.261707592569250691e-01
1.201766375964672484e+01,8.699057006835937500e+01,8.112086868286132812e+01,8.629155788145718020e+01,8.100586014016123437e-01
1.301741541965169091e+01,8.693288421630859375e+01,8.050282669067382812e+01,8.600625661158787238e+01,1.077395577051395659e+00
1.401716707965665876e+01,8.627749252319335938e+01,8.096057891845703125e+01,8.621756473227044637e+01,6.950763583848081073e-02
