# time,smoothGCAMP,smoothISOS,smoothfitISOS,smoothdFF
2.064383958712320832e-02,2.979166603088378906e+01,3.005379676818847656e+01,2.982731603534676168e+01,-1.195213287736841545e-01
1.020395499592090083e+00,6.457184410095214844e+01,6.534067344665527344e+01,6.450440688300049885e+01,1.045466832583527017e-01
2.020147159597056596e+00,6.955340576171875000e+01,7.044252395629882812e+01,6.951809328052796388e+01,5.079610145273813493e-02
3.019898819602023554e+00,6.946835327148437500e+01,7.026466751098632812e+01,6.934331033875217543e+01,1.803244352214317947e-01
4.019650479606990068e+00,6.957482147216796875e+01,7.034734344482421875e+01,6.942455756544029555e+01,2.164420084147211376e-01
5.019402139611957026e+00,6.973483276367187500e+01,7.039459991455078125e+01,6.947099740506619980e+01,3.797777035894908670e-01
6.019153799616923983e+00,6.963143157958984375e+01,7.028563690185546875e+01,6.936391736155033527e+01,3.856676903715308691e-01
7.018905459621890941e+00,6.953843688964843750e+01,7.017795562744140625e+01,6.925809690683929887e+01,4.047757523372762511e-01
8.018657119626857011e+00,6.945868682861328125e+01,7.011901092529296875e+01,6.920017081692166983e+01,3.735771294200272985e-01
9.018408779631824856e+00,6.958255386352539062e+01,7.011542892456054688e+01,6.919665071606529239e+01,5.576905001422325370e-01
1.001816043963679093e+01,6.952884674072265625e+01,7.013713836669921875e+01,6.921798500144720379e+01,4.491054445877801782e-01
1.101791209964175877e+01,6.916664505004882812e+01,7.012777328491210938e+01,6.920878175586425129e+01,-6.088346702021352891e-02
1.201766375964672484e+01,6.907067871093750000e+01,7.002644729614257812e+01,6.910920676231052084e+01,-5.574952047349000794e-02
1.301741541965169091e+01,6.901633453369140625e+01,7.001645660400390625e+01,6.909938871742997435e+01,-1.201952510436870153e-01
1.401716707965665876e+01,6.884983825683593750e+01,7.014828109741210938e+01,6.922893517674162922e+01,-5.475989467956663415e-01
1.501691873966162483e+01,6.895260620117187500e+01,7.027690887451171875e+01,6.935534016159358828e+01,-5.806819770234973310e-01
1.601667039966659090e+01,6.914588546752929688e+01,7.038521957397460938e+01,6.946177916437842725e+01,-4.547734029408906919e-01
1.701642205967155874e+01,6.922713851928710938e+01,7.041706848144531250e+01,6.949307769691287717e+01,-3.826844146774373567e-01
1.801617371967652659e+01,6.930859375000000000e+01,7.022449874877929688e+01,6.930383572531489733e+01,6.865456486363979288e-03
1.901592537968149088e+01,6.929671859741210938e+01,7.017222213745117188e+01,6.925246249620337835e+01,6.390545493043986447e-02
2.001567703968645873e+01,6.908689498901367188e+01,7.030053329467773438e+01,6.937855633263033894e+01,-4.203911972718463730e-01
2.101542869969142657e+01,6.896310806274414062e+01,7.030080795288085938e+01,6.937882624451710001e+01,-5.992003674259521739e-01
2.201518035969639442e+01,6.907390975952148438e+01,7.031790161132812500e+01,6.939562451069110693e+01,-4.635951523428672449e-01
2.301493201970135871e+01,6.918709945678710938e+01,7.034927368164062500e+01,6.942645444619995487e+01,-3.447604970210985109e-01
2.401468367970632656e+01,6.919237136840820312e+01,7.028455352783203125e+01,6.936285270910815370e+01,-2.457819049267049305e-01
2.501443533971129440e+01,6.926733779907226562e+01,7.023505020141601562e+01,6.931420484029756324e+01,-6.761534859020740251e-02
2.601418699971625870e+01,6.951624298095703125e+01,7.023204040527343750e+01,6.931124705587193091e+01,2.957614150555576416e-01
2.701393865972122654e+01,6.960754776000976562e+01,7.022301483154296875e+01,6.930237745137121408e+01,4.403460889241303522e-01
2.801369031972619439e+01,6.929145050048828125e+01,7.020421981811523438e+01,6.928390723100982029e+01,1.088747702018279077e-02
2.901344197973115868e+01,6.851052474975585938e+01,6.999660873413085938e+01,6.907988383483603911e+01,-8.242038832049392028e-01
3.001319363973612653e+01,6.817963027954101562e+01,6.979955291748046875e+01,6.888623330242113241e+01,-1.025753607078530694e+00
3.101294529974109437e+01,6.822901153564453125e+01,6.964309310913085938e+01,6.873247724637845124e+01,-7.325004581592435837e-01
3.201269695974605867e+01,6.839703369140625000e+01,6.976686477661132812e+01,6.885411003912162187e+01,-6.638330630599532656e-01
3.301244861975102651e+01,6.877840805053710938e+01,7.007043075561523438e+01,6.915243015195265741e+01,-5.408661714327139824e-01
3.401220027975599436e+01,6.884530258178710938e+01,6.997410202026367188e+01,6.905776605522731870e+01,-3.076605073936169443e-01
3.501195193976096220e+01,6.868884658813476562e+01,6.977870941162109375e+01,6.886574998923772739e+01,-2.568815429013813767e-01
3.601170359976593005e+01,6.874698638916015625e+01,6.968965911865234375e+01,6.877823855751127269e+01,-4.543903566966733115e-02
3.701145525977089790e+01,6.893470382690429688e+01,6.977355575561523438e+01,6.886068539258495491e+01,1.074901213912581865e-01
3.801120691977585864e+01,6.883563232421875000e+01,6.987504577636718750e+01,6.896042158351548323e+01,-1.809577964160289376e-01
3.901095857978082648e+01,6.854772949218750000e+01,6.981464385986328125e+01,6.890106346108760249e+01,-5.128135200694696749e-01
