# time,smoothGCAMP,smoothISOS,smoothfitISOS,smoothdFF
2.064383958712320832e-02,3.592607116699218750e+01,3.508486557006835938e+01,1.070699930802258848e+01,2.355381851951119643e+02
1.020395499592090083e+00,7.796075820922851562e+01,7.617002868652343750e+01,7.518859884004234573e+01,3.686941121331060334e+00
2.020147159597056596e+00,8.403858947753906250e+01,8.206821823120117188e+01,8.444558280541770046e+01,-4.819592859184185230e-01
3.019898819602023554e+00,8.409996032714843750e+01,8.196049880981445312e+01,8.427652127408117622e+01,-2.095019398801871990e-01
4.019650479606990068e+00,8.392048645019531250e+01,8.192766952514648438e+01,8.422499696149944270e+01,-3.615441048259422363e-01
5.019402139611957026e+00,8.391224670410156250e+01,8.192287445068359375e+01,8.421747127466292682e+01,-3.624242879080507573e-01
6.019153799616923983e+00,8.426210403442382812e+01,8.169459152221679688e+01,8.385918990842691301e+01,4.804650825233249267e-01
7.018905459621890941e+00,8.450734710693359375e+01,8.162299346923828125e+01,8.374681948978340529e+01,9.081271644506668794e-01
8.018657119626857011e+00,8.432205200195312500e+01,8.167666244506835938e+01,8.383105090434440854e+01,5.857031401991777964e-01
9.018408779631824856e+00,8.377906036376953125e+01,8.158900070190429688e+01,8.369346913544740119e+01,1.022675116783740706e-01
1.001816043963679093e+01,8.321432113647460938e+01,8.143829345703125000e+01,8.345693985155645578e+01,-2.907112524295624723e-01
1.101791209964175877e+01,8.290719604492187500e+01,8.123003387451171875e+01,8.313008436456067329e+01,-2.681199247451001022e-01
1.201766375964672484e+01,8.298635482788085938e+01,8.117782974243164062e+01,8.304815196650343978e+01,-7.441121464991250212e-02
1.301741541965169091e+01,8.314218902587890625e+01,8.125339889526367188e+01,8.316675487520009824e+01,-2.953806404741349603e-02
1.401716707965665876e+01,8.341513061523437500e+01,8.148941421508789062e+01,8.353717193532446572e+01,-1.460922332690130498e-01
1.501691873966162483e+01,8.347423171997070312e+01,8.152213668823242188e+01,8.358852861128610812e+01,-1.367375323077198446e-01
1.601667039966659090e+01,8.334960556030273438e+01,8.145968627929687500e+01,8.349051507174681319e+01,-1.687730771848628686e-01
