# time,smoothGCAMP,smoothISOS,smoothfitISOS,smoothdFF
2.064383958712320832e-02,3.567442321777343750e+01,3.442644119262695312e+01,1.785845349927005898e+01,9.976210828799696628e+01
1.020395499592090083e+00,7.750066757202148438e+01,7.478261566162109375e+01,7.483734142173757675e+01,3.558819834706616891e+00
2.020147159597056596e+00,8.360053634643554688e+01,8.075513839721679688e+01,8.326994704017538140e+01,3.970091467701613031e-01
3.019898819602023554e+00,8.341682434082031250e+01,8.085483551025390625e+01,8.341070940689326108e+01,7.331113678966110977e-03
4.019650479606990068e+00,8.316441345214843750e+01,8.082835769653320312e+01,8.337332537829603041e+01,-2.505740597483441801e-01
5.019402139611957026e+00,8.318394851684570312e+01,8.081559753417968750e+01,8.335530930342817157e+01,-2.055787303945867117e-01
6.019153799616923983e+00,8.326033782958984375e+01,8.077641296386718750e+01,8.329998460356492274e+01,-4.759517563390072009e-02
7.018905459621890941e+00,8.318486404418945312e+01,8.069472885131835938e+01,8.318465479455288403e+01,2.515483619976503185e-04
8.018657119626857011e+00,8.314499282836914062e+01,8.069200515747070312e+01,8.318080921085910973e+01,-4.305846844934677065e-02
9.018408779631824856e+00,8.306431961059570312e+01,8.068964767456054688e+01,8.317748068043509591e+01,-1.360477245928541079e-01
1.001816043963679093e+01,8.313821792602539062e+01,8.066158294677734375e+01,8.313785608766895052e+01,4.352269513163100527e-04
1.101791209964175877e+01,8.312284088134765625e+01,8.054088973999023438e+01,8.296744933348540485e+01,1.872921839957490953e-01
1.201766375964672484e+01,8.306112670898437500e+01,8.048200988769531250e+01,8.288431686245841945e+01,2.133212327965023081e-01
1.301741541965169091e+01,8.308084106445312500e+01,8.052231597900390625e+01,8.294122503796027956e+01,1.683312808907107549e-01
1.401716707965665876e+01,8.302475738525390625e+01,8.044204711914062500e+01,8.282789342439694735e+01,2.376783384412051725e-01
1.501691873966162483e+01,8.346989822387695312e+01,8.035466384887695312e+01,8.270451697387441925e+01,9.254406869268224645e-01
1.601667039966659090e+01,8.364898681640625000e+01,8.038964080810546875e+01,8.275390094710709832e+01,1.081623777314442147e+00
1.701642205967155874e+01,8.348542785644531250e+01,8.028192520141601562e+01,8.260181726817033621e+01,1.069722940121640153e+00
1.801617371967652659e+01,8.339849472045898438e+01,8.018972396850585938e+01,8.247163833556764700e+01,1.123848638873966577e+00
1.901592537968149088e+01,8.280036926269531250e+01,8.025335311889648438e+01,8.256147634118670453e+01,2.893515621273278771e-01
2.001567703968645873e+01,8.214567184448242188e+01,8.026790237426757812e+01,8.258201843671615450e+01,-5.283796648396424933e-01
2.101542869969142657e+01,8.194004821777343750e+01,8.022871017456054688e+01,8.252668296490978150e+01,-7.108425130642657130e-01
2.201518035969639442e+01,8.195726013183593750e+01,8.027198028564453125e+01,8.258777604031368469e+01,-7.634494336909769530e-01
2.301493201970135871e+01,8.189186477661132812e+01,8.040167236328125000e+01,8.277088830140701248e+01,-1.061996002259579353e+00
2.401468367970632656e+01,8.177960205078125000e+01,8.039643859863281250e+01,8.276349874842684073e+01,-1.188805104332654183e+00
2.501443533971129440e+01,8.177581405639648438e+01,8.032558059692382812e+01,8.266345432670178184e+01,-1.073800118244724322e+00
2.601418699971625870e+01,8.183014678955078125e+01,8.022152328491210938e+01,8.251653579449093456e+01,-8.318199477612810977e-01
2.701393865972122654e+01,8.174821472167968750e+01,8.006413650512695312e+01,8.229432137987276974e+01,-6.636018731745042532e-01
2.801369031972619439e+01,8.169565200805664062e+01,7.997569274902343750e+01,8.216944762925658097e+01,-5.766080153510056983e-01
2.901344197973115868e+01,8.169700241088867188e+01,7.998746109008789062e+01,8.218606335151886810e+01,-5.950655387135755925e-01
3.001319363973612653e+01,8.173349761962890625e+01,8.006880569458007812e+01,8.230091380906208087e+01,-6.894409347016228207e-01
3.101294529974109437e+01,8.182911682128906250e+01,8.011014938354492188e+01,8.235928696882822919e+01,-6.437284331271933002e-01
3.201269695974605867e+01,8.187036895751953125e+01,8.019707489013671875e+01,8.248201710276356380e+01,-7.415533309302874132e-01
3.301244861975102651e+01,8.183686065673828125e+01,8.021607589721679688e+01,8.250884462710341438e+01,-8.144387106644714880e-01
3.401220027975599436e+01,8.215850830078125000e+01,8.017124938964843750e+01,8.244555407530307889e+01,-3.481640432177223743e-01
3.501195193976096220e+01,8.236421966552734375e+01,8.003822326660156250e+01,8.225773447506639968e+01,1.294531038819472790e-01
3.601170359976593005e+01,8.204001998901367188e+01,8.000118637084960938e+01,8.220544207719136409e+01,-2.012300937720886695e-01
3.701145525977089790e+01,8.194585800170898438e+01,8.001847457885742188e+01,8.222985130030080825e+01,-3.453652099584728075e-01
3.801120691977585864e+01,8.223231124877929688e+01,7.982487106323242188e+01,8.195650247169298552e+01,3.365306824575305944e-01
3.901095857978082648e+01,8.216125869750976562e+01,7.967473602294921875e+01,8.174452678901018032e+01,5.097979337200239103e-01
4.001071023978579433e+01,8.180028915405273438e+01,7.967793655395507812e+01,8.174904561914893009e+01,6.268395492044862016e-02
4.101046189979076217e+01,8.160424423217773438e+01,7.974434280395507812e+01,8.184280461206358837e+01,-2.914860762856730236e-01
4.201021355979573002e+01,8.149214935302734375e+01,7.977325057983398438e+01,8.188361950454448390e+01,-4.780811521105436945e-01
4.300996521980069787e+01,8.153693771362304688e+01,7.972859954833984375e+01,8.182057670743590450e+01,-3.466597342952733585e-01
4.400971687980566571e+01,8.145765686035156250e+01,7.962789535522460938e+01,8.167839244422621903e+01,-2.702496673467036925e-01
4.500946853981062645e+01,8.165240478515625000e+01,7.964612960815429688e+01,8.170413738828251837e+01,-6.331699321470043995e-02
4.600922019981559430e+01,8.179686355590820312e+01,7.965653991699218750e+01,8.171883570466947333e+01,9.548331246509821069e-02
4.700897185982056214e+01,8.159898757934570312e+01,7.963793182373046875e+01,8.169256293540030356e+01,-1.145457465064434743e-01
4.800872351982552999e+01,8.147945404052734375e+01,7.953541183471679688e+01,8.154781494972810663e+01,-8.382923471696381024e-02
4.900847517983049784e+01,8.138967514038085938e+01,7.950424194335937500e+01,8.150380617611219236e+01,-1.400315409622961416e-01
5.000822683983546568e+01,8.139065170288085938e+01,7.966547012329101562e+01,8.173144426409119490e+01,-4.169662781305616961e-01
5.100797849984043353e+01,8.117655181884765625e+01,7.972072601318359375e+01,8.180946006213628152e+01,-7.736369886904472803e-01
5.200773015984539427e+01,8.146229171752929688e+01,7.969381332397460938e+01,8.177146203278121561e+01,-3.780907269677726834e-01
5.300748181985036211e+01,8.215708541870117188e+01,7.962117385864257812e+01,8.166890236233767553e+01,5.977588068927276455e-01
5.400723347985532996e+01,8.244384765625000000e+01,7.957506561279296875e+01,8.160380212409322098e+01,1.029419598463487073e+00
5.500698513986029781e+01,8.211061096191406250e+01,7.960676193237304688e+01,8.164855416178438929e+01,5.659093475361733905e-01
5.600673679986526565e+01,8.148191452026367188e+01,7.953583908081054688e+01,8.154841817854281771e+01,-8.155113215506172575e-02
5.700648845987023350e+01,8.106683731079101562e+01,7.947018432617187500e+01,8.145572022202544815e+01,-4.774163314429566984e-01
5.800624011987519424e+01,8.120059204101562500e+01,7.948110961914062500e+01,8.147114564457298513e+01,-3.320851835540408192e-01
5.900599177988016208e+01,8.232445907592773438e+01,7.935051727294921875e+01,8.128676229419151866e+01,1.276587666243370611e+00
6.000574343988512993e+01,8.237216949462890625e+01,7.915998077392578125e+01,8.101774378671785826e+01,1.671764288421339728e+00
6.100549509989009778e+01,8.138558578491210938e+01,7.924136352539062500e+01,8.113264810397666338e+01,3.117581970346761100e-01
6.200524675989506562e+01,8.085797500610351562e+01,7.943973922729492188e+01,8.141273478300591648e+01,-6.814164619098403985e-01
6.300499841990003347e+01,8.053714370727539062e+01,7.947425079345703125e+01,8.146146166770829211e+01,-1.134669009750049140e+00
6.400475007990499421e+01,8.034023284912109375e+01,7.950966262817382812e+01,8.151145964169880642e+01,-1.436886049797283071e+00
6.500450173990996916e+01,8.019597625732421875e+01,7.948606109619140625e+01,8.147813663565773368e+01,-1.573625062226074345e+00
6.600425339991492990e+01,8.027888488769531250e+01,7.947422409057617188e+01,8.146142396590738599e+01,-1.451655299699868618e+00
6.700400505991990485e+01,8.039782333374023438e+01,7.967992782592773438e+01,8.175185709630319764e+01,-1.656272787745872943e+00
6.800375671992486559e+01,8.031608200073242188e+01,7.989328002929687500e+01,8.205308909967659758e+01,-2.116930779819990782e+00
6.900350837992982633e+01,8.028648757934570312e+01,7.977618026733398438e+01,8.188775593070248249e+01,-1.955442951339212199e+00
7.000326003993480128e+01,8.028140640258789062e+01,7.964218139648437500e+01,8.169856290771802776e+01,-1.734616197265152815e+00
7.100301169993976202e+01,8.010657501220703125e+01,7.963998794555664062e+01,8.169546597407108379e+01,-1.944894912978821555e+00
7.200276335994473698e+01,8.023259353637695312e+01,7.960947799682617188e+01,8.165238897353503944e+01,-1.738829022649008849e+00
7.300251501994969772e+01,8.039248657226562500e+01,7.956833267211914062e+01,8.159429588429000546e+01,-1.472908490721805741e+00
7.400226667995467267e+01,8.038853454589843750e+01,7.953358078002929688e+01,8.154522968337936106e+01,-1.418470635219367670e+00
7.500201833995963341e+01,8.042396163940429688e+01,7.951768112182617188e+01,8.152278095391771728e+01,-1.347867800455125220e+00
7.600176999996459415e+01,8.047648620605468750e+01,7.950893402099609375e+01,8.151043092113087596e+01,-1.268481473342508270e+00
7.700152165996956910e+01,8.053555679321289062e+01,7.941805648803710938e+01,8.138212092065947445e+01,-1.040233552369457914e+00
7.800127331997452984e+01,8.042340850830078125e+01,7.937381362915039062e+01,8.131965442250780995e+01,-1.102127057193892812e+00
7.900102497997950479e+01,8.034772872924804688e+01,7.946849822998046875e+01,8.145333962259597627e+01,-1.357354896030833480e+00
8.000077663998446553e+01,8.052273559570312500e+01,7.937014007568359375e+01,8.131446773189563260e+01,-9.736669971239944044e-01
8.100052829998944048e+01,8.050185394287109375e+01,7.921379852294921875e+01,8.109372907348486592e+01,-7.298654746502426516e-01
8.200027995999440122e+01,8.064460754394531250e+01,7.912942123413085938e+01,8.097459676855153532e+01,-4.075219115316202623e-01
8.300003161999936196e+01,8.085552215576171875e+01,7.912152862548828125e+01,8.096345319339410196e+01,-1.333083426846588815e-01
8.399978328000433692e+01,8.057356643676757812e+01,7.915629196166992188e+01,8.101253555221943259e+01,-5.418533224020641859e-01
8.499953494000929766e+01,8.036929702758789062e+01,7.915151596069335938e+01,8.100579231582644013e+01,-7.857404637892724253e-01
8.599928660001427261e+01,8.030911254882812500e+01,7.907665634155273438e+01,8.090009800993504996e+01,-7.305126639455346016e-01
8.699903826001923335e+01,8.001369476318359375e+01,7.904669570922851562e+01,8.085779658930363212e+01,-1.043933747548719815e+00
8.799878992002420830e+01,7.981377029418945312e+01,7.906907653808593750e+01,8.088939608444553642e+01,-1.329748820393181985e+00
8.899854158002916904e+01,7.996223068237304688e+01,7.903644943237304688e+01,8.084332986969374701e+01,-1.089884828768048264e+00
8.999829324003412978e+01,8.011052322387695312e+01,7.904116439819335938e+01,8.084998693054178887e+01,-9.146120299315680935e-01
9.099804490003910473e+01,8.016094970703125000e+01,7.909453964233398438e+01,8.092534744460783713e+01,-9.445714621118008747e-01
9.199779656004406547e+01,8.019499206542968750e+01,7.909725570678710938e+01,8.092918225635848728e+01,-9.072008025524260777e-01
9.299754822004904042e+01,8.033335494995117188e+01,7.904064941406250000e+01,8.084925982438119263e+01,-6.381071088970472482e-01
9.399729988005400116e+01,8.033472442626953125e+01,7.904886245727539062e+01,8.086085582114965575e+01,-6.506626593760482802e-01
9.499705154005897612e+01,8.027135086059570312e+01,7.908681106567382812e+01,8.091443546622750205e+01,-7.947711702199454775e-01
9.599680320006393686e+01,8.054850769042968750e+01,7.906938171386718750e+01,8.088982696217033208e+01,-4.219557446949033785e-01
9.699655486006889760e+01,8.051441192626953125e+01,7.902703094482421875e+01,8.083003190591236375e+01,-3.904736546562544430e-01
9.799630652007387255e+01,8.007301330566406250e+01,7.885652160644531250e+01,8.058928974912815590e+01,-6.406266205735838826e-01
9.899605818007883329e+01,7.996478271484375000e+01,7.878215408325195312e+01,8.048429023356798950e+01,-6.454769212931020794e-01
9.999580984008380824e+01,7.992235565185546875e+01,7.875466156005859375e+01,8.044547353653581467e+01,-6.502763445637027573e-01
1.009955615000887690e+02,7.981328201293945312e+01,7.881884384155273438e+01,8.053609250803106079e+01,-8.974988388212763457e-01
1.019953131600937297e+02,7.988591384887695312e+01,7.897098922729492188e+01,8.075090659772594393e+01,-1.071186424145175176e+00
