# time,smoothGCAMP,smoothISOS,smoothfitISOS,smoothdFF
2.064383958712320832e-02,8.963132476806640625e+01,3.622071075439453125e+01,-2.687087034051387491e-01,-3.345631620123857283e+04
1.020395499592090083e+00,1.919814376831054688e+02,7.835418319702148438e+01,1.756518715301044438e+02,9.296551190006733023e+00
2.020147159597056596e+00,1.978683700561523438e+02,8.363848495483398438e+01,1.977155035421392029e+02,7.731640224185068466e-02
3.019898819602023554e+00,1.933429260253906250e+02,8.356964492797851562e+01,1.974280746461659817e+02,-2.069183234500377555e+00
4.019650479606990068e+00,1.953257980346679688e+02,8.399337768554687500e+01,1.991972929957068175e+02,-1.943547978396618525e+00
5.019402139611957026e+00,1.914362411499023438e+02,8.387049102783203125e+01,1.986842023132906263e+02,-3.647980603892956530e+00
6.019153799616923983e+00,1.861344451904296875e+02,8.346720504760742188e+01,1.970003557293718757e+02,-5.515680669058878216e+00
7.018905459621890941e+00,1.859544296264648438e+02,8.330087280273437500e+01,1.963058659725768678e+02,-5.273116162284257058e+00
8.018657119626857011e+00,1.883506317138671875e+02,8.335760498046875000e+01,1.965427407670418063e+02,-4.168105635040758372e+00
9.018408779631824856e+00,1.880883331298828125e+02,8.340085220336914062e+01,1.967233116078735122e+02,-4.389402764428198545e+00
1.001816043963679093e+01,1.874473342895507812e+02,8.312158966064453125e+01,1.955573021216984841e+02,-4.147105602377730627e+00
1.101791209964175877e+01,1.851471023559570312e+02,8.170329666137695312e+01,1.896354800427793919e+02,-2.366844899387940959e+00
1.201766375964672484e+01,1.815662612915039062e+02,8.089915084838867188e+01,1.862779168083253865e+02,-2.529368804177490215e+00
1.301741541965169091e+01,1.833218002319335938e+02,8.121539306640625000e+01,1.875983281407580137e+02,-2.279619414100360508e+00
1.401716707965665876e+01,1.885810165405273438e+02,8.142018890380859375e+01,1.884534155678455534e+02,6.770955692010392768e-02
1.501691873966162483e+01,1.917804794311523438e+02,8.152792739868164062e+01,1.889032578768875794e+02,1.523119075129933941e+00
1.601667039966659090e+01,1.932596664428710938e+02,8.255139160156250000e+01,1.931765447906163047e+02,4.302885339671256443e-02
1.701642205967155874e+01,1.970475463867187500e+02,8.372296905517578125e+01,1.980682513953543378e+02,-5.153299438172999070e-01
1.801617371967652659e+01,1.997372436523437500e+02,8.389239120483398438e+01,1.987756424824019348e+02,4.837620736287888135e-01
1.901592537968149088e+01,1.983336029052734375e+02,8.398163223266601562e+01,1.991482520131787339e+02,-4.090666624838799059e-01
2.001567703968645873e+01,1.978511199951171875e+02,8.452388381958007812e+01,2.014123239795318625e+02,-1.768116227474032520e+00
2.101542869969142657e+01,1.977662811279296875e+02,8.451869201660156250e+01,2.013906465591938684e+02,-1.799669196751343181e+00
2.201518035969639442e+01,1.948721694946289062e+02,8.339649200439453125e+01,1.967051063974059559e+02,-9.318196849826271277e-01
2.301493201970135871e+01,1.881704711914062500e+02,8.221939849853515625e+01,1.917903685290318379e+02,-1.887423943855467412e+00
2.401468367970632656e+01,1.817601547241210938e+02,8.180677032470703125e+01,1.900675153305592460e+02,-4.370741939773485463e+00
2.501443533971129440e+01,1.798582534790039062e+02,8.203341293334960938e+01,1.910138199408030175e+02,-5.840188142018376993e+00
2.601418699971625870e+01,1.823903350830078125e+02,8.250685119628906250e+01,1.929905745041603780e+02,-5.492620273496336303e+00
2.701393865972122654e+01,1.847946166992187500e+02,8.202648925781250000e+01,1.909849114044962732e+02,-3.241248044023119501e+00
2.801369031972619439e+01,1.816416778564453125e+02,8.196104049682617188e+01,1.907116421166644216e+02,-4.755852427022111861e+00
2.901344197973115868e+01,1.791424560546875000e+02,8.234188079833984375e+01,1.923017708892174653e+02,-6.843054421017720657e+00
3.001319363973612653e+01,1.929750213623046875e+02,8.230499649047851562e+01,1.921477672321651369e+02,4.305301810455125500e-01
3.101294529974109437e+01,2.133605651855468750e+02,8.271115493774414062e+01,1.938436072749483685e+02,1.006840420737506925e+01
3.201269695974605867e+01,2.144896774291992188e+02,8.247170639038085938e+01,1.928438338182132554e+02,1.122454536523615154e+01
3.301244861975102651e+01,2.091644210815429688e+02,8.170459365844726562e+01,1.896408954159718121e+02,1.029499761786447287e+01
3.401220027975599436e+01,2.039973678588867188e+02,8.093676376342773438e+01,1.864349626309063694e+02,9.420124305090471495e+00
3.501195193976096220e+01,2.062382888793945312e+02,8.109557342529296875e+01,1.870980432231851580e+02,1.023006191111116614e+01
3.601170359976593005e+01,2.142853317260742188e+02,8.207573318481445312e+01,1.911905203825589581e+02,1.207947512110126986e+01
3.701145525977089790e+01,2.131619644165039062e+02,8.252225112915039062e+01,1.930548740970365600e+02,1.041522023907087480e+01
3.801120691977585864e+01,2.163823013305664062e+02,8.193975067138671875e+01,1.906227503584672434e+02,1.351336654395037939e+01
3.901095857978082648e+01,2.236202087402343750e+02,8.069840621948242188e+01,1.854397444586801669e+02,2.058914845520702741e+01
4.001071023978579433e+01,2.199302749633789062e+02,8.040269088745117188e+01,1.842050393708020977e+02,1.939427700490995932e+01
4.101046189979076217e+01,2.094659957885742188e+02,8.091325759887695312e+01,1.863368169555773477e+02,1.241256516607282379e+01
4.201021355979573002e+01,2.152368774414062500e+02,8.086891937255859375e+01,1.861516908302366744e+02,1.562445470221066479e+01
4.300996521980069787e+01,2.264576873779296875e+02,8.093123626708984375e+01,1.864118835845655724e+02,2.148243074599767866e+01
4.400971687980566571e+01,2.232958984375000000e+02,8.121352005004882812e+01,1.875905077047654288e+02,1.903368734889752290e+01
4.500946853981062645e+01,2.141356430053710938e+02,8.127903366088867188e+01,1.878640477612568986e+02,1.398436558627806470e+01
4.600922019981559430e+01,2.240210113525390625e+02,8.106425094604492188e+01,1.869672619605875354e+02,1.981830883299901558e+01
4.700897185982056214e+01,2.368188247680664062e+02,8.053270339965820312e+01,1.847478827506403434e+02,2.818486536471313286e+01
4.800872351982552999e+01,2.269394302368164062e+02,8.041801452636718750e+01,1.842690204123140063e+02,2.315658363463623104e+01
4.900847517983049784e+01,2.139494552612304688e+02,7.973733901977539062e+01,1.814269847782128124e+02,1.792592790029281957e+01
5.000822683983546568e+01,2.055079498291015625e+02,7.913676071166992188e+01,1.789193802938816873e+02,1.486064253718472017e+01
5.100797849984043353e+01,2.004837722778320312e+02,7.951182937622070312e+01,1.804854106557283160e+02,1.108032031478163226e+01
5.200773015984539427e+01,2.002862014770507812e+02,8.018492507934570312e+01,1.832957982117901281e+02,9.269390477586942012e+00
5.300748181985036211e+01,2.004372253417968750e+02,8.176879501342773438e+01,1.899089563889980070e+02,5.543850670862198626e+00
5.400723347985532996e+01,2.024127578735351562e+02,8.294483566284179688e+01,1.948192982485453228e+02,3.897693756858880310e+00
5.500698513986029781e+01,1.984646606445312500e+02,8.205723953247070312e+01,1.911133035318619307e+02,3.846596221619767775e+00
5.600673679986526565e+01,1.947948074340820312e+02,8.074539184570312500e+01,1.856359243163607005e+02,4.933788086250355143e+00
5.700648845987023350e+01,2.001314163208007812e+02,7.972948455810546875e+01,1.813941899152621033e+02,1.032956260302037776e+01
5.800624011987519424e+01,1.961906509399414062e+02,7.896837234497070312e+01,1.782163055778198384e+02,1.008569070256755928e+01
5.900599177988016208e+01,1.923702011108398438e+02,7.978469848632812500e+01,1.816247255375782572e+02,5.916306571947630211e+00
6.000574343988512993e+01,1.978326797485351562e+02,8.153624343872070312e+01,1.889379799755921283e+02,4.707735191247459205e+00
6.100549509989009778e+01,1.970393600463867188e+02,8.223028182983398438e+01,1.918358098811437173e+02,2.712501992441859855e+00
6.200524675989506562e+01,1.939503173828125000e+02,8.258444976806640625e+01,1.933145730967508769e+02,3.288651630746137200e-01
6.300499841990003347e+01,1.962717666625976562e+02,8.326273727416992188e+01,1.961466380731506831e+02,6.379338982109285239e-02
6.400475007990499421e+01,1.944218368530273438e+02,8.374309921264648438e+01,1.981523011728147878e+02,-1.882624777864169374e+00
6.500450173990996916e+01,1.917848281860351562e+02,8.410768508911132812e+01,1.996745625772118444e+02,-3.951296694653240849e+00
6.600425339991492990e+01,1.894974288940429688e+02,8.400615310668945312e+01,1.992506344216524496e+02,-4.894943273791456662e+00
6.700400505991990485e+01,1.847304306030273438e+02,8.387607192993164062e+01,1.987075043455863863e+02,-7.033993904050305446e+00
6.800375671992486559e+01,1.842914123535156250e+02,8.396969604492187500e+01,1.990984146522400522e+02,-7.437026720974865057e+00
6.900350837992982633e+01,1.844979705810546875e+02,8.357009887695312500e+01,1.974299700267833089e+02,-6.550170394076577196e+00
7.000326003993480128e+01,1.909158935546875000e+02,8.288406753540039062e+01,1.945655720869109189e+02,-1.875809010338754135e+00
7.100301169993976202e+01,1.945850906372070312e+02,8.232070541381835938e+01,1.922133569580666119e+02,1.233906798505079117e+00
7.200276335994473698e+01,1.910387420654296875e+02,8.200770187377929688e+01,1.909064681310468643e+02,6.928729847541068021e-02
7.300251501994969772e+01,1.922336654663085938e+02,8.268363952636718750e+01,1.937287217254274481e+02,-7.717266938032059098e-01
7.400226667995467267e+01,1.934247970581054688e+02,8.350022506713867188e+01,1.971382247598242827e+02,-1.883667008893341155e+00
7.500201833995963341e+01,1.931705703735351562e+02,8.304498291015625000e+01,1.952374446968433688e+02,-1.058646473537681043e+00
7.600176999996459415e+01,1.918148345947265625e+02,8.232894134521484375e+01,1.922477445778386880e+02,-2.251833872292039740e-01
7.700152165996956910e+01,1.882271804809570312e+02,8.214106750488281250e+01,1.914633118433444281e+02,-1.690209644464525152e+00
7.800127331997452984e+01,1.866345214843750000e+02,8.237554550170898438e+01,1.924423316786979115e+02,-3.017948360769003191e+00
7.900102497997950479e+01,1.912408218383789062e+02,8.287017440795898438e+01,1.945075638834789231e+02,-1.679493578489821948e+00
8.000077663998446553e+01,1.957364120483398438e+02,8.309085464477539062e+01,1.954289737046056814e+02,1.573146181481057115e-01
8.100052829998944048e+01,1.992656097412109375e+02,8.248599243164062500e+01,1.929034825611712165e+02,3.298088295540356540e+00
8.200027995999440122e+01,1.962440719604492188e+02,8.191687011718750000e+01,1.905272168043251497e+02,3.000545146258752904e+00
8.300003161999936196e+01,1.934844284057617188e+02,8.266273117065429688e+01,1.936414227240515231e+02,-8.107475977055225713e-02
8.399978328000433692e+01,1.920730056762695312e+02,8.286461639404296875e+01,1.944843574165924167e+02,-1.239869248279790614e+00
8.499953494000929766e+01,1.903446044921875000e+02,8.222120666503906250e+01,1.917979181963648045e+02,-7.577317407008484773e-01
8.599928660001427261e+01,1.934580841064453125e+02,8.221417617797851562e+01,1.917685636881481344e+02,8.810205311047003551e-01
8.699903826001923335e+01,1.928968811035156250e+02,8.273105239868164062e+01,1.939266854707477989e+02,-5.310276740575299304e-01
8.799878992002420830e+01,1.904031448364257812e+02,8.279096221923828125e+01,1.941768279295342552e+02,-1.943426068571850296e+00
8.899854158002916904e+01,1.885775985717773438e+02,8.221644973754882812e+01,1.917780565188030835e+02,-1.668834279125123610e+00
8.999829324003412978e+01,1.869203338623046875e+02,8.123944473266601562e+01,1.876987514583414907e+02,-4.147164485585658755e-01
9.099804490003910473e+01,1.838038177490234375e+02,8.104831695556640625e+01,1.869007325081614965e+02,-1.656983746172757455e+00
9.199779656004406547e+01,1.778088607788085938e+02,8.100015258789062500e+01,1.866996310319031238e+02,-4.762071678425160215e+00
9.299754822004904042e+01,1.727448501586914062e+02,8.051296234130859375e+01,1.846654575851376023e+02,-6.455244842393089932e+00
9.399729988005400116e+01,1.766862792968750000e+02,8.124970626831054688e+01,1.877415966168346984e+02,-5.888581709743686332e+00
9.499705154005897612e+01,1.825185241699218750e+02,8.175071334838867188e+01,1.898334597156679990e+02,-3.853343639578825197e+00
9.599680320006393686e+01,1.831216201782226562e+02,8.097217559814453125e+01,1.865828182466283636e+02,-1.855046515499962245e+00
9.699655486006889760e+01,1.819443588256835938e+02,8.035224914550781250e+01,1.839944291363205195e+02,-1.114202381159072663e+00
9.799630652007387255e+01,1.808536224365234375e+02,8.036167907714843750e+01,1.840338020849432326e+02,-1.728041051367259717e+00
9.899605818007883329e+01,1.837756195068359375e+02,8.079515838623046875e+01,1.858437153712685301e+02,-1.112814528218542431e+00
9.999580984008380824e+01,1.862927780151367188e+02,8.141242980957031250e+01,1.884210188941001149e+02,-1.129513517894492391e+00
1.009955615000887690e+02,1.869946823120117188e+02,8.170309066772460938e+01,1.896346199540958821e+02,-1.392117980737485050e+00
1.019953131600937297e+02,1.870559463500976562e+02,8.183065414428710938e+01,1.901672378351413215e+02,-1.636081756491035488e+00
1.029950648200987047e+02,1.854585571289062500e+02,8.164498901367187500e+01,1.893920271626424494e+02,-2.076893147333118694e+00
1.039948164801036654e+02,1.856815032958984375e+02,8.094361495971679688e+01,1.864635685434170398e+02,-4.194198650319740929e-01
1.049945681401086404e+02,1.902253265380859375e+02,8.031629180908203125e+01,1.838442958783440133e+02,3.470888574081443245e+00
1.059943198001136011e+02,1.889653472900390625e+02,8.012108230590820312e+01,1.830292344301759897e+02,3.243259405167673748e+00
1.069940714601185761e+02,1.834408721923828125e+02,8.009759140014648438e+01,1.829311524651198226e+02,2.786401990006486251e-01
1.079938231201235368e+02,1.862057876586914062e+02,7.996636199951171875e+01,1.823832281910215727e+02,2.095894181490319585e+00
1.089935747801284975e+02,1.850238952636718750e+02,7.981014251708984375e+01,1.817309624175594820e+02,1.811982285410611127e+00
1.099933264401334725e+02,1.818759307861328125e+02,7.937146759033203125e+01,1.798993557833279340e+02,1.098711551355125327e+00
1.109930781001384332e+02,1.835905685424804688e+02,7.911229705810546875e+01,1.788172367989311908e+02,2.669391289675609347e+00
1.119928297601434082e+02,1.847170257568359375e+02,7.988733673095703125e+01,1.820532726879194172e+02,1.463172306428567770e+00
1.129925814201483689e+02,1.845330429077148438e+02,8.051429748535156250e+01,1.846710322340121877e+02,-7.472169545383061662e-02
1.139923330801533439e+02,1.834612960815429688e+02,8.100020980834960938e+01,1.866998699454263431e+02,-1.734641735331702073e+00
1.149920847401583046e+02,1.815158157348632812e+02,8.184038162231445312e+01,1.902078531340846723e+02,-4.569757376470700905e+00
1.159918364001632654e+02,1.820320816040039062e+02,8.225615692138671875e+01,1.919438465763330726e+02,-5.163887850078805464e+00
1.169915880601682403e+02,1.860211029052734375e+02,8.241763687133789062e+01,1.926180764663610319e+02,-3.424898473762764795e+00
1.179913397201732010e+02,1.890484085083007812e+02,8.240314102172851562e+01,1.925575517071513048e+02,-1.822386693089741438e+00
1.189910913801781760e+02,1.902736206054687500e+02,8.231806182861328125e+01,1.922023191532949511e+02,-1.003473088317902828e+00
1.199908430401831367e+02,1.874254608154296875e+02,8.175030136108398438e+01,1.898317395383009796e+02,-1.267585035423328010e+00
1.209905947001881117e+02,1.849084548950195312e+02,8.122050476074218750e+01,1.876196710821635918e+02,-1.445059663257136640e+00
1.219903463601930724e+02,1.890019607543945312e+02,8.115480041503906250e+01,1.873453346472614669e+02,8.842633366089429625e-01
1.229900980201980332e+02,1.895689697265625000e+02,8.110136413574218750e+01,1.871222212717326272e+02,1.307567021276851316e+00
1.239898496802030081e+02,1.835579071044921875e+02,8.093852615356445312e+01,1.864423211674207721e+02,-1.547081180317664728e+00
1.249896013402079689e+02,1.838460617065429688e+02,8.057741165161132812e+01,1.849345538500976147e+02,-5.885823502929284912e-01
1.259893530002129438e+02,1.849003677368164062e+02,8.020998764038085938e+01,1.834004423349500428e+02,8.178417580514893981e-01
1.269891046602179046e+02,1.814349670410156250e+02,7.998892211914062500e+01,1.824774238294337749e+02,-5.712798693347186374e-01
1.279888563202228795e+02,1.818870849609375000e+02,7.994140243530273438e+01,1.822790141122033845e+02,-2.150160583075291232e-01
1.289886079802278402e+02,1.844991607666015625e+02,7.975675582885742188e+01,1.815080561004174058e+02,1.647918406734167007e+00
1.299883596402328010e+02,1.848478012084960938e+02,7.957703399658203125e+01,1.807576605791944928e+02,2.262775816082000624e+00
1.309881113002377617e+02,1.899581680297851562e+02,7.991263961791992188e+01,1.821589202478767504e+02,4.281562369438404403e+00
1.319878629602427509e+02,2.002211837768554688e+02,8.029574584960937500e+01,1.837585099959483443e+02,8.958863337142920713e+00
1.329876146202477116e+02,2.111122436523437500e+02,8.035341262817382812e+01,1.839992870446255040e+02,1.473535960013938428e+01
1.339873662802526724e+02,2.086860961914062500e+02,7.982717132568359375e+01,1.818020630820626877e+02,1.478752916968192999e+01
1.349871179402576331e+02,1.944287109375000000e+02,7.919391632080078125e+01,1.791580230484183005e+02,8.523585842959835901e+00
1.359868696002625938e+02,1.864502334594726562e+02,7.941269302368164062e+01,1.800714850130067077e+02,3.542342334770664181e+00
1.369866212602675830e+02,1.907848663330078125e+02,7.916914367675781250e+01,1.790545894204425110e+02,6.551229404693530434e+00
1.379863729202725438e+02,1.967796249389648438e+02,7.852586364746093750e+01,1.763686917375341920e+02,1.157287781654892633e+01
1.389861245802775045e+02,1.945451507568359375e+02,7.852876663208007812e+01,1.763808126169443256e+02,1.029836401725854245e+01
1.399858762402824652e+02,1.954757766723632812e+02,7.862283325195312500e+01,1.767735705215107203e+02,1.057975244584245189e+01
1.409856279002874544e+02,1.984308319091796875e+02,7.840755844116210938e+01,1.758747300645418647e+02,1.282509535983951032e+01
1.419853795602924151e+02,1.989384841918945312e+02,7.817097091674804688e+01,1.748869022839665774e+02,1.375264905137093940e+01
1.429851312202973759e+02,2.251782531738281250e+02,7.761379623413085938e+01,1.725605216707638476e+02,3.049233451174659137e+01
1.439848828803023366e+02,2.393348693847656250e+02,7.718169021606445312e+01,1.707563423089952437e+02,4.016162805342413833e+01
1.449846345403072974e+02,2.242737503051757812e+02,7.748213195800781250e+01,1.720107816538893815e+02,3.038354232727519744e+01
1.459843862003122865e+02,2.143387756347656250e+02,7.776336288452148438e+01,1.731850097652623788e+02,2.376289144498342765e+01
1.469841378603172473e+02,2.040521469116210938e+02,7.787412643432617188e+01,1.736474826358973758e+02,1.750941839996377425e+01
1.479838895203222080e+02,1.965559234619140625e+02,7.795205307006835938e+01,1.739728509993542218e+02,1.298080265560726332e+01
1.489836411803271687e+02,1.939357910156250000e+02,7.780960464477539062e+01,1.733780837471413463e+02,1.185715450544804561e+01
1.499833928403321295e+02,1.919499359130859375e+02,7.778990554809570312e+01,1.732958337848889698e+02,1.076431078623170379e+01
1.509831445003371186e+02,1.870417785644531250e+02,7.789112091064453125e+01,1.737184399522866727e+02,7.669501646357074875e+00
1.519828961603420794e+02,1.951878509521484375e+02,7.759775543212890625e+01,1.724935462464278828e+02,1.315661089911097292e+01
1.529826478203470401e+02,2.031396865844726562e+02,7.737483215332031250e+01,1.715627710151917711e+02,1.840545905293449280e+01
1.539823994803520009e+02,2.002840042114257812e+02,7.743132781982421875e+01,1.717986583004275474e+02,1.658065679487750899e+01
1.549821511403569900e+02,2.000875320434570312e+02,7.741480255126953125e+01,1.717296600749284892e+02,1.651308921018974374e+01
1.559819028003619508e+02,2.108235778808593750e+02,7.702752685546875000e+01,1.701126614947999940e+02,2.393173796020105826e+01
1.569816544603669115e+02,2.152561645507812500e+02,7.680190277099609375e+01,1.691706095452690590e+02,2.724205766556628916e+01
1.579814061203718722e+02,2.040955047607421875e+02,7.710384368896484375e+01,1.704313084244709273e+02,1.975235456881446794e+01
