# time,smoothGCAMP,smoothISOS,smoothfitISOS,smoothdFF
2.064383958712320832e-02,3.831230926513671875e+01,3.892707061767578125e+01,2.994300719190062310e+01,2.795077334617190346e+01
1.020395499592090083e+00,8.329159164428710938e+01,8.495685195922851562e+01,8.096992150545082723e+01,2.867324181214612189e+00
2.020147159597056596e+00,9.000630950927734375e+01,9.208509063720703125e+01,8.887202344090778183e+01,1.276313989996822995e+00
3.019898819602023554e+00,9.001889038085937500e+01,9.198980712890625000e+01,8.876639566532742265e+01,1.411000983135764164e+00
4.019650479606990068e+00,8.986952972412109375e+01,9.181637573242187500e+01,8.857413602928829732e+01,1.462496562658490040e+00
5.019402139611957026e+00,8.971109771728515625e+01,9.178435134887695312e+01,8.853863498132621146e+01,1.324238549878513860e+00
6.019153799616923983e+00,8.961230850219726562e+01,9.166594314575195312e+01,8.840737202376298853e+01,1.362936654321545316e+00
7.018905459621890941e+00,8.952560424804687500e+01,9.150882339477539062e+01,8.823319487504797110e+01,1.464765471576948030e+00
8.018657119626857011e+00,8.947001266479492188e+01,9.151490783691406250e+01,8.823993986271914025e+01,1.394009111961646008e+00
9.018408779631824856e+00,8.942345809936523438e+01,9.156008911132812500e+01,8.829002615361407891e+01,1.283759893534428764e+00
1.001816043963679093e+01,8.938847732543945312e+01,9.160408401489257812e+01,8.833879727763394385e+01,1.188243535291228614e+00
1.101791209964175877e+01,8.944800567626953125e+01,9.171369552612304688e+01,8.846030854769263385e+01,1.116542712536876092e+00
1.201766375964672484e+01,8.952654647827148438e+01,9.166174697875976562e+01,8.840272030812768378e+01,1.271257452515832664e+00
1.301741541965169091e+01,8.953405380249023438e+01,9.155385971069335938e+01,8.828312047031187149e+01,1.416956407424486919e+00
1.401716707965665876e+01,8.947470474243164062e+01,9.157965850830078125e+01,8.831172006380413109e+01,1.316908647897773177e+00
1.501691873966162483e+01,8.926560592651367188e+01,9.148310852050781250e+01,8.820468831586839542e+01,1.202790498897339022e+00
1.601667039966659090e+01,8.916159820556640625e+01,9.141530609130859375e+01,8.812952504886682448e+01,1.171086711436727823e+00
1.701642205967155874e+01,8.922977828979492188e+01,9.135840606689453125e+01,8.806644778485222957e+01,1.320969034409935183e+00
1.801617371967652659e+01,8.931998443603515625e+01,9.128367233276367188e+01,8.798360072938763210e+01,1.518900903769394350e+00
1.901592537968149088e+01,8.926983261108398438e+01,9.134808731079101562e+01,8.805500879322180197e+01,1.379619211344279339e+00
2.001567703968645873e+01,8.914626312255859375e+01,9.132672119140625000e+01,8.803132310297336005e+01,1.266526482035319257e+00
2.101542869969142657e+01,8.911149215698242188e+01,9.126975631713867188e+01,8.796817394880802965e+01,1.299695283932722933e+00
2.201518035969639442e+01,8.911511611938476562e+01,9.132990264892578125e+01,8.803484994919139695e+01,1.227089238883050992e+00
2.301493201970135871e+01,8.910296249389648438e+01,9.134844589233398438e+01,8.805540630346699515e+01,1.189655734276299448e+00
2.401468367970632656e+01,8.911344146728515625e+01,9.126668167114257812e+01,8.796476550989707732e+01,1.305836434315100103e+00
2.501443533971129440e+01,8.912864303588867188e+01,9.125858306884765625e+01,8.795578769872096814e+01,1.333460102915727807e+00
2.601418699971625870e+01,8.895869827270507812e+01,9.130722427368164062e+01,8.800970954059881990e+01,1.078277314014415955e+00
2.701393865972122654e+01,8.876437377929687500e+01,9.119802093505859375e+01,8.788865075560647711e+01,9.964005775052074965e-01
2.801369031972619439e+01,8.870169067382812500e+01,9.101893997192382812e+01,8.769012821878928321e+01,1.153564803229578661e+00
2.901344197973115868e+01,8.885023498535156250e+01,9.103418350219726562e+01,8.770702663304258806e+01,1.303439868155653825e+00
3.001319363973612653e+01,8.891645812988281250e+01,9.108710861206054688e+01,8.776569745370083808e+01,1.311173624284176498e+00
3.101294529974109437e+01,8.873121643066406250e+01,9.094118499755859375e+01,8.760393192806726859e+01,1.286796697119053867e+00
3.201269695974605867e+01,8.857341384887695312e+01,9.086975479125976562e+01,8.752474704145735984e+01,1.198137490100802172e+00
3.301244861975102651e+01,8.842362976074218750e+01,9.080628585815429688e+01,8.745438772805734118e+01,1.108282909370700064e+00
3.401220027975599436e+01,8.831208038330078125e+01,9.068825149536132812e+01,8.732353919606889292e+01,1.132044344895711818e+00
3.501195193976096220e+01,8.835970687866210938e+01,9.065209960937500000e+01,8.728346255145463317e+01,1.233044950036231047e+00
3.601170359976593005e+01,8.827033996582031250e+01,9.056986236572265625e+01,8.719229738266764684e+01,1.236396580332521866e+00
3.701145525977089790e+01,8.805918121337890625e+01,9.043372344970703125e+01,8.704137881212909633e+01,1.169331661722229798e+00
3.801120691977585864e+01,8.814033889770507812e+01,9.050028991699218750e+01,8.711517193743445375e+01,1.176794968627155491e+00
3.901095857978082648e+01,8.818277359008789062e+01,9.054367446899414062e+01,8.716326644827100267e+01,1.169652289731405670e+00
4.001071023978579433e+01,8.813915634155273438e+01,9.043701553344726562e+01,8.704502829448661316e+01,1.256967880307326757e+00
4.101046189979076217e+01,8.814384078979492188e+01,9.038332748413085938e+01,8.698551170734920390e+01,1.331634498332040506e+00
4.201021355979573002e+01,8.797494888305664062e+01,9.022005462646484375e+01,8.680451345197988644e+01,1.348357803680608313e+00
4.300996521980069787e+01,8.793637466430664062e+01,9.010774612426757812e+01,8.668001239741742836e+01,1.449425573601607731e+00
4.400971687980566571e+01,8.793186569213867188e+01,9.012113952636718750e+01,8.669485982795880830e+01,1.426850296124399842e+00
4.500946853981062645e+01,8.776059722900390625e+01,9.025146102905273438e+01,8.683932942909387975e+01,1.060887740574114835e+00
4.600922019981559430e+01,8.767581176757812500e+01,9.030527496337890625e+01,8.689898556770033622e+01,8.939416206102743789e-01
4.700897185982056214e+01,8.822528457641601562e+01,9.083270263671875000e+01,8.748367239239770754e+01,8.477149663904071097e-01
4.800872351982552999e+01,8.881246185302734375e+01,9.145934295654296875e+01,8.817834269004305270e+01,7.191325484686101888e-01
4.900847517983049784e+01,8.872222518920898438e+01,9.134697341918945312e+01,8.805377397416225449e+01,7.591397675275957102e-01
5.000822683983546568e+01,8.846704483032226562e+01,9.112294387817382812e+01,8.780542310522625371e+01,7.535089538867351111e-01
5.100797849984043353e+01,8.834774398803710938e+01,9.097041320800781250e+01,8.763633324188329254e+01,8.117760292300982838e-01
5.200773015984539427e+01,8.847497940063476562e+01,9.105912017822265625e+01,8.773467051041342302e+01,8.438042633709711415e-01
5.300748181985036211e+01,8.854740524291992188e+01,9.119482803344726562e+01,8.788511122289125410e+01,7.535906945022576853e-01
5.400723347985532996e+01,8.841823959350585938e+01,9.124750900268554688e+01,8.794351139827618624e+01,5.398103710912075526e-01
5.500698513986029781e+01,8.844419479370117188e+01,9.118050003051757812e+01,8.786922772841292328e+01,6.543440521240979635e-01
5.600673679986526565e+01,8.853953170776367188e+01,9.106785583496093750e+01,8.774435453659963002e+01,9.062431142876095080e-01
5.700648845987023350e+01,8.848625183105468750e+01,9.123576354980468750e+01,8.793049082332974820e+01,6.320458381627555022e-01
5.800624011987519424e+01,8.845738601684570312e+01,9.133777999877929688e+01,8.804358248808856047e+01,4.699985133080269994e-01
5.900599177988016208e+01,8.842693710327148438e+01,9.124707412719726562e+01,8.794302931138307144e+01,5.502514476446144220e-01
6.000574343988512993e+01,8.834574508666992188e+01,9.110961151123046875e+01,8.779064333600321390e+01,6.323017232510232954e-01
6.100549509989009778e+01,8.835277938842773438e+01,9.105106353759765625e+01,8.772573921639366290e+01,7.147733124110214886e-01
6.200524675989506562e+01,8.844499588012695312e+01,9.103891372680664062e+01,8.771227038521328723e+01,8.353739923681080537e-01
6.300499841990003347e+01,8.846911239624023438e+01,9.109041976928710938e+01,8.776936808022033176e+01,7.972534510905253669e-01
6.400475007990499421e+01,8.833010482788085938e+01,9.110617446899414062e+01,8.778683315801465881e+01,6.188532497673332466e-01
6.500450173990996916e+01,8.823210906982421875e+01,9.102093505859375000e+01,8.769233989813224639e+01,6.155260223629508420e-01
6.600425339991492990e+01,8.815371322631835938e+01,9.097034835815429688e+01,8.763626135173257126e+01,5.904540730109067992e-01
