# time,smoothGCAMP,smoothISOS,smoothfitISOS,smoothdFF
2.064383958712320832e-02,2.758571052551269531e+01,2.972120857238769531e+01,3.810602505939283446e+01,-2.760800822831287249e+01
1.020395499592090083e+00,5.927270126342773438e+01,6.459111595153808594e+01,6.064358645301932427e+01,-2.260560876711367850e+00
2.020147159597056596e+00,6.364326858520507812e+01,6.995116806030273438e+01,6.410796340592602860e+01,-7.248628657543578768e-01
3.019898819602023554e+00,6.455742073059082031e+01,7.055077743530273438e+01,6.449551055236143782e+01,9.599145382238657986e-02
4.019650479606990068e+00,6.537746047973632812e+01,7.118428802490234375e+01,6.490496916237056269e+01,7.279740264320131438e-01
5.019402139611957026e+00,6.513053512573242188e+01,7.129991531372070312e+01,6.497970286017442731e+01,2.321221226304476248e-01
6.019153799616923983e+00,6.443617248535156250e+01,7.097781372070312500e+01,6.477151806780646837e+01,-5.177361785836904762e-01
7.018905459621890941e+00,6.407593536376953125e+01,7.075722503662109375e+01,6.462894438798043950e+01,-8.556677343994431029e-01
8.018657119626857011e+00,6.411980819702148438e+01,7.071333694458007812e+01,6.460057807894301618e+01,-7.442191636954436085e-01
9.018408779631824856e+00,6.455404281616210938e+01,7.089112854003906250e+01,6.471549060091670924e+01,-2.494731682561221742e-01
1.001816043963679093e+01,6.465756988525390625e+01,7.108555603027343750e+01,6.484115544568157929e+01,-2.831312291796919678e-01
1.101791209964175877e+01,6.431673049926757812e+01,7.099779510498046875e+01,6.478443268986104897e+01,-7.219360750328336351e-01
1.201766375964672484e+01,6.386316680908203125e+01,7.100392150878906250e+01,6.478839238497744191e+01,-1.428073057281081359e+00
1.301741541965169091e+01,6.368606758117675781e+01,7.110770034790039062e+01,6.485546804228846440e+01,-1.803086919901971674e+00
1.401716707965665876e+01,6.397663688659667969e+01,7.084834289550781250e+01,6.468783683975514975e+01,-1.099433816159684163e+00
1.501691873966162483e+01,6.339482498168945312e+01,6.990596008300781250e+01,6.407874401188843194e+01,-1.067310292586403309e+00
1.601667039966659090e+01,6.236203575134277344e+01,6.923988723754882812e+01,6.364823935112369213e+01,-2.020799966964382577e+00
1.701642205967155874e+01,6.151420593261718750e+01,6.918302536010742188e+01,6.361148766033603863e+01,-3.297017260337677502e+00
1.801617371967652659e+01,6.130774497985839844e+01,6.932506179809570312e+01,6.370329045483404684e+01,-3.760473686479511191e+00
1.901592537968149088e+01,6.149321556091308594e+01,6.957738494873046875e+01,6.386637515811790422e+01,-3.715820087376873193e+00
2.001567703968645873e+01,6.100509262084960938e+01,6.943025970458984375e+01,6.377128330179843374e+01,-4.337674479369955094e+00
2.101542869969142657e+01,6.107947158813476562e+01,6.965084457397460938e+01,6.391385451606086576e+01,-4.434692523846845091e+00
2.201518035969639442e+01,6.233110046386718750e+01,7.031210708618164062e+01,6.434125010114580334e+01,-3.124200468779543716e+00
2.301493201970135871e+01,6.378304862976074219e+01,7.087427139282226562e+01,6.470459527543766853e+01,-1.424236782185317463e+00
2.401468367970632656e+01,6.414517784118652344e+01,7.124097442626953125e+01,6.494160743723332985e+01,-1.226378014767440128e+00
2.501443533971129440e+01,6.274038696289062500e+01,7.053709411621093750e+01,6.448666657578453965e+01,-2.707970043453388875e+00
2.601418699971625870e+01,6.228162193298339844e+01,7.002813720703125000e+01,6.415771108236656062e+01,-2.924183418848301574e+00
2.701393865972122654e+01,6.347916603088378906e+01,7.007502365112304688e+01,6.418801532438125435e+01,-1.104332779125848818e+00
2.801369031972619439e+01,6.382594680786132812e+01,6.971794128417968750e+01,6.395722131394521170e+01,-2.052536107525680387e-01
2.901344197973115868e+01,6.373195075988769531e+01,6.944935607910156250e+01,6.378362591310146001e+01,-8.101633056133671074e-02
3.001319363973612653e+01,6.396677398681640625e+01,6.971402740478515625e+01,6.395469164570771170e+01,1.889203246515136839e-02
3.101294529974109437e+01,6.526152420043945312e+01,7.071709823608398438e+01,6.460300912463713985e+01,1.019325701271677431e+00
3.201269695974605867e+01,6.664499282836914062e+01,7.114475631713867188e+01,6.487941852694640943e+01,2.721316469088628232e+00
3.301244861975102651e+01,6.602194976806640625e+01,7.058632278442382812e+01,6.451848467383999264e+01,2.330285811619528857e+00
3.401220027975599436e+01,6.537088394165039062e+01,7.029485321044921875e+01,6.433009835705399837e+01,1.617882781430982853e+00
3.501195193976096220e+01,6.628150558471679688e+01,7.048241043090820312e+01,6.445132272180352118e+01,2.839635845509397072e+00
3.601170359976593005e+01,6.718939590454101562e+01,7.059994125366210938e+01,6.452728673583595764e+01,4.125555719711712754e+00
3.701145525977089790e+01,6.531129646301269531e+01,6.971496963500976562e+01,6.395530063991303393e+01,2.120224296550981435e+00
3.801120691977585864e+01,6.184459686279296875e+01,6.822498321533203125e+01,6.299227369395575238e+01,-1.821932697236336995e+00
3.901095857978082648e+01,6.185111999511718750e+01,6.872489547729492188e+01,6.331538333611533176e+01,-2.312650202597640980e+00
4.001071023978579433e+01,6.396987724304199219e+01,7.022468185424804688e+01,6.428474431492070096e+01,-4.898006132469396312e-01
4.101046189979076217e+01,6.402247810363769531e+01,7.024848937988281250e+01,6.430013189725035261e+01,-4.318090576491189214e-01
4.201021355979573002e+01,6.264853668212890625e+01,6.962539672851562500e+01,6.389740674138997178e+01,-1.954492557601874569e+00
4.300996521980069787e+01,6.212647056579589844e+01,6.966562271118164062e+01,6.392340610938646250e+01,-2.811076025134873646e+00
4.400971687980566571e+01,6.261159515380859375e+01,6.982167434692382812e+01,6.402426738449321419e+01,-2.206463718203782065e+00
4.500946853981062645e+01,6.247222137451171875e+01,6.934462738037109375e+01,6.371593633045795002e+01,-1.951968420421221539e+00
4.600922019981559430e+01,6.206407928466796875e+01,6.905832672119140625e+01,6.353089085232868172e+01,-2.308816306495957260e+00
4.700897185982056214e+01,6.261166954040527344e+01,6.927843856811523438e+01,6.367315633670666841e+01,-1.667086818640185708e+00
4.800872351982552999e+01,6.305650138854980469e+01,6.950242996215820312e+01,6.381792929924989721e+01,-1.193125378809559933e+00
4.900847517983049784e+01,6.334397125244140625e+01,6.996722030639648438e+01,6.411833849748879288e+01,-1.207715706915448051e+00
5.000822683983546568e+01,6.320735549926757812e+01,6.981512069702148438e+01,6.402003154625538173e+01,-1.269409007398932143e+00
5.100797849984043353e+01,6.226459503173828125e+01,6.867745590209960938e+01,6.328472158738091480e+01,-1.611963409263142966e+00
5.200773015984539427e+01,6.285305976867675781e+01,6.891436386108398438e+01,6.343784294822060588e+01,-9.218207183071487343e-01
5.300748181985036211e+01,6.378319931030273438e+01,7.006661987304687500e+01,6.418258368780502110e+01,-6.222628547410308242e-01
5.400723347985532996e+01,6.309934043884277344e+01,7.011880874633789062e+01,6.421631506320190397e+01,-1.739393833576094339e+00
5.500698513986029781e+01,6.259758567810058594e+01,6.979404449462890625e+01,6.400640930745208834e+01,-2.201066494113546490e+00
5.600673679986526565e+01,6.237273025512695312e+01,6.971217727661132812e+01,6.395349584736932513e+01,-2.471742273502935294e+00
5.700648845987023350e+01,6.218168830871582031e+01,6.959963226318359375e+01,6.388075432494157724e+01,-2.659746326073632705e+00
5.800624011987519424e+01,6.181993103027343750e+01,6.911039352416992188e+01,6.356454332969086352e+01,-2.744631217388957989e+00
5.900599177988016208e+01,6.203443908691406250e+01,6.904023361206054688e+01,6.351919668424832821e+01,-2.337494292811892915e+00
6.000574343988512993e+01,6.296178436279296875e+01,6.935369873046875000e+01,6.372179944066142809e+01,-1.192708122714260854e+00
6.100549509989009778e+01,6.293359565734863281e+01,6.914996719360351562e+01,6.359012108631443994e+01,-1.032433053673019963e+00
6.200524675989506562e+01,6.217352294921875000e+01,6.878805923461914062e+01,6.335620813794426454e+01,-1.866723441135360595e+00
6.300499841990003347e+01,6.127968406677246094e+01,6.840127944946289062e+01,6.310621971500439997e+01,-2.894382925297701359e+00
6.400475007990499421e+01,6.115469551086425781e+01,6.852354812622070312e+01,6.318524595900855445e+01,-3.213646504536228132e+00
6.500450173990996916e+01,6.186704444885253906e+01,6.911266326904296875e+01,6.356601034002352435e+01,-2.672758416145637916e+00
6.600425339991492990e+01,6.140868568420410156e+01,6.916534042358398438e+01,6.360005730755919728e+01,-3.445549762255701420e+00
6.700400505991990485e+01,6.046973037719726562e+01,6.908790588378906250e+01,6.355000883236138520e+01,-4.847014991437040621e+00
6.800375671992486559e+01,6.074262046813964844e+01,6.935646820068359375e+01,6.372358943982362689e+01,-4.677967763412024915e+00
6.900350837992982633e+01,6.099570655822753906e+01,6.909848403930664062e+01,6.355684584018067085e+01,-4.029682795136410256e+00
7.000326003993480128e+01,6.086255455017089844e+01,6.863648986816406250e+01,6.325824390004906661e+01,-3.787157534223472233e+00
7.100301169993976202e+01,6.089475822448730469e+01,6.881837463378906250e+01,6.337580197174872865e+01,-3.914812389068320186e+00
7.200276335994473698e+01,6.115660285949707031e+01,6.921075057983398438e+01,6.362940737646675871e+01,-3.886260486977679118e+00
7.300251501994969772e+01,6.134136581420898438e+01,6.927589797973632812e+01,6.367151427135952702e+01,-3.659640396205687374e+00
7.400226667995467267e+01,6.122684097290039062e+01,6.913227081298828125e+01,6.357868333684685069e+01,-3.699105172540520847e+00
7.500201833995963341e+01,6.099490547180175781e+01,6.912562942504882812e+01,6.357439079064657506e+01,-4.057428292689712279e+00
7.600176999996459415e+01,6.114608764648437500e+01,6.893424224853515625e+01,6.345069100005841278e+01,-3.632117030170587402e+00
7.700152165996956910e+01,6.209160423278808594e+01,6.903507614135742188e+01,6.351586324228235014e+01,-2.242367397356159309e+00
7.800127331997452984e+01,6.266143226623535156e+01,6.928990936279296875e+01,6.368057028640467365e+01,-1.600390850122302533e+00
7.900102497997950479e+01,6.212446975708007812e+01,6.897153854370117188e+01,6.347479681522216310e+01,-2.127343648019771827e+00
8.000077663998446553e+01,6.167837905883789062e+01,6.858555221557617188e+01,6.322532122950784128e+01,-2.446713026659923962e+00
8.100052829998944048e+01,6.261302947998046875e+01,6.849106979370117188e+01,6.316425415065177162e+01,-8.726845239976841473e-01
8.200027995999440122e+01,6.347297096252441406e+01,6.833599090576171875e+01,6.306402159425901743e+01,6.484669989752525066e-01
8.300003161999936196e+01,6.347746467590332031e+01,6.822243881225585938e+01,6.299062916304501414e+01,7.728697416216951943e-01
8.399978328000433692e+01,6.322438049316406250e+01,6.842403793334960938e+01,6.312092926734837306e+01,1.638936989940726341e-01
8.499953494000929766e+01,6.311796569824218750e+01,6.865355300903320312e+01,6.326927236596166892e+01,-2.391471595315566301e-01
8.599928660001427261e+01,6.218647193908691406e+01,6.826923751831054688e+01,6.302087669709726470e+01,-1.324013250435761124e+00
8.699903826001923335e+01,6.092462730407714844e+01,6.785392379760742188e+01,6.275244585854680679e+01,-2.912744721679580095e+00
8.799878992002420830e+01,6.084619331359863281e+01,6.786090469360351562e+01,6.275695783990609300e+01,-3.044705467052510883e+00
8.899854158002916904e+01,6.065850448608398438e+01,6.786450195312500000e+01,6.275928286636609243e+01,-3.347358803884541434e+00
8.999829324003412978e+01,6.051578140258789062e+01,6.818053817749023438e+01,6.296354741263500898e+01,-3.887592282571932678e+00
9.099804490003910473e+01,6.062990760803222656e+01,6.823158264160156250e+01,6.299653911895659064e+01,-3.756764330268120400e+00
9.199779656004406547e+01,6.109543228149414062e+01,6.817095565795898438e+01,6.295735391691123084e+01,-2.957433118733650890e+00
9.299754822004904042e+01,6.190264701843261719e+01,6.832049560546875000e+01,6.305400647497957323e+01,-1.825989371514126436e+00
